,time,step,surface,latitude,longitude,valid_time,t,gribfile_projection,y,x,point_latitude,point_longitude,heightAboveGround,t2m,inversion
2661,2023-02-10,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-10,294.41498,,308693.8474433345,1481479.8574780696,40,-80,2.0,295.11755,False
2662,2023-02-11,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-11,279.23373,,308693.8474433345,1481479.8574780696,40,-80,2.0,279.34753,False
2663,2023-02-12,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-12,275.4887,,308693.8474433345,1481479.8574780696,40,-80,2.0,276.21112,False
2664,2023-02-13,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-13,276.2281,,308693.8474433345,1481479.8574780696,40,-80,2.0,277.83646,True
2665,2023-02-14,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-14,282.2064,,308693.8474433345,1481479.8574780696,40,-80,2.0,282.88013,False
2666,2023-02-15,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-15,282.6258,,308693.8474433345,1481479.8574780696,40,-80,2.0,284.0558,True
2667,2023-02-16,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-16,291.24838,,308693.8474433345,1481479.8574780696,40,-80,2.0,292.07144,False
2668,2023-02-17,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-17,287.32916,,308693.8474433345,1481479.8574780696,40,-80,2.0,287.92856,False
2669,2023-02-18,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-18,271.9583,,308693.8474433345,1481479.8574780696,40,-80,2.0,270.96555,False
2670,2023-02-19,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-19,275.13855,,308693.8474433345,1481479.8574780696,40,-80,2.0,275.85315,False
2671,2023-02-20,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-20,283.30545,,308693.8474433345,1481479.8574780696,40,-80,2.0,284.3728,True
2672,2023-02-21,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-21,282.94305,,308693.8474433345,1481479.8574780696,40,-80,2.0,282.81488,False
2673,2023-02-22,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-22,280.1059,,308693.8474433345,1481479.8574780696,40,-80,2.0,280.66748,False
2674,2023-02-23,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-23,279.66928,,308693.8474433345,1481479.8574780696,40,-80,2.0,282.75012,True
2675,2023-02-24,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-24,292.6009,,308693.8474433345,1481479.8574780696,40,-80,2.0,293.5728,False
2676,2023-02-25,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-25,275.68555,,308693.8474433345,1481479.8574780696,40,-80,2.0,275.7254,False
2677,2023-02-26,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-26,278.13818,,308693.8474433345,1481479.8574780696,40,-80,2.0,279.33408,True
2678,2023-02-27,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-27,279.52838,,308693.8474433345,1481479.8574780696,40,-80,2.0,280.5817,True
2679,2023-02-28,0 days,0.0,40.00603868710662,279.9922670991639,2023-02-28,282.55862,,308693.8474433345,1481479.8574780696,40,-80,2.0,283.01666,False
2680,2023-03-01,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-01,278.99112,,308693.8474433345,1481479.8574780696,40,-80,2.0,279.04114,False
